date_id,arrival_date,year,month,month_name,day,quarter,is_weekend
20151219,2015-12-19,2015,12,December,19,4,True
20151220,2015-12-20,2015,12,December,20,4,True
20151221,2015-12-21,2015,12,December,21,4,False
20151222,2015-12-22,2015,12,December,22,4,False
20151223,2015-12-23,2015,12,December,23,4,False
20151224,2015-12-24,2015,12,December,24,4,False
20151225,2015-12-25,2015,12,December,25,4,False
20151226,2015-12-26,2015,12,December,26,4,True
20151227,2015-12-27,2015,12,December,27,4,True
20151228,2015-12-28,2015,12,December,28,4,False
20151229,2015-12-29,2015,12,December,29,4,False
20151230,2015-12-30,2015,12,December,30,4,False
20151231,2015-12-31,2015,12,December,31,4,False
20160101,2016-01-01,2016,1,January,1,1,False
20160102,2016-01-02,2016,1,January,2,1,True
20160103,2016-01-03,2016,1,January,3,1,True
20160104,2016-01-04,2016,1,January,4,1,False
20160105,2016-01-05,2016,1,January,5,1,False
20160106,2016-01-06,2016,1,January,6,1,False
20160107,2016-01-07,2016,1,January,7,1,False
20160108,2016-01-08,2016,1,January,8,1,False
20160109,2016-01-09,2016,1,January,9,1,True
20160110,2016-01-10,2016,1,January,10,1,True
20160112,2016-01-12,2016,1,January,12,1,False
20160113,2016-01-13,2016,1,January,13,1,False
20160114,2016-01-14,2016,1,January,14,1,False
20160115,2016-01-15,2016,1,January,15,1,False
20160116,2016-01-16,2016,1,January,16,1,True
20160117,2016-01-17,2016,1,January,17,1,True
20160118,2016-01-18,2016,1,January,18,1,False
20160119,2016-01-19,2016,1,January,19,1,False
20160121,2016-01-21,2016,1,January,21,1,False
20160122,2016-01-22,2016,1,January,22,1,False
20160123,2016-01-23,2016,1,January,23,1,True
20160125,2016-01-25,2016,1,January,25,1,False
20160126,2016-01-26,2016,1,January,26,1,False
20160127,2016-01-27,2016,1,January,27,1,False
20160128,2016-01-28,2016,1,January,28,1,False
20160129,2016-01-29,2016,1,January,29,1,False
20160130,2016-01-30,2016,1,January,30,1,True
20160131,2016-01-31,2016,1,January,31,1,True
20160201,2016-02-01,2016,2,February,1,1,False
20160202,2016-02-02,2016,2,February,2,1,False
20160203,2016-02-03,2016,2,February,3,1,False
20160204,2016-02-04,2016,2,February,4,1,False
20160205,2016-02-05,2016,2,February,5,1,False
20160206,2016-02-06,2016,2,February,6,1,True
20160207,2016-02-07,2016,2,February,7,1,True
20160208,2016-02-08,2016,2,February,8,1,False
20160209,2016-02-09,2016,2,February,9,1,False
20160210,2016-02-10,2016,2,February,10,1,False
20160211,2016-02-11,2016,2,February,11,1,False
20160212,2016-02-12,2016,2,February,12,1,False
20160213,2016-02-13,2016,2,February,13,1,True
20160214,2016-02-14,2016,2,February,14,1,True
20160215,2016-02-15,2016,2,February,15,1,False
20160216,2016-02-16,2016,2,February,16,1,False
20160217,2016-02-17,2016,2,February,17,1,False
20160218,2016-02-18,2016,2,February,18,1,False
20160219,2016-02-19,2016,2,February,19,1,False
20160220,2016-02-20,2016,2,February,20,1,True
20160221,2016-02-21,2016,2,February,21,1,True
20160222,2016-02-22,2016,2,February,22,1,False
20160223,2016-02-23,2016,2,February,23,1,False
20160224,2016-02-24,2016,2,February,24,1,False
20160225,2016-02-25,2016,2,February,25,1,False
20160226,2016-02-26,2016,2,February,26,1,False
20160227,2016-02-27,2016,2,February,27,1,True
20160228,2016-02-28,2016,2,February,28,1,True
20160229,2016-02-29,2016,2,February,29,1,False
20160301,2016-03-01,2016,3,March,1,1,False
20160302,2016-03-02,2016,3,March,2,1,False
20160303,2016-03-03,2016,3,March,3,1,False
20160304,2016-03-04,2016,3,March,4,1,False
20160305,2016-03-05,2016,3,March,5,1,True
20160307,2016-03-07,2016,3,March,7,1,False
20160308,2016-03-08,2016,3,March,8,1,False
20160309,2016-03-09,2016,3,March,9,1,False
20160310,2016-03-10,2016,3,March,10,1,False
20160311,2016-03-11,2016,3,March,11,1,False
20160312,2016-03-12,2016,3,March,12,1,True
20160313,2016-03-13,2016,3,March,13,1,True
20160314,2016-03-14,2016,3,March,14,1,False
20160315,2016-03-15,2016,3,March,15,1,False
20160316,2016-03-16,2016,3,March,16,1,False
20160317,2016-03-17,2016,3,March,17,1,False
20160318,2016-03-18,2016,3,March,18,1,False
20160319,2016-03-19,2016,3,March,19,1,True
20160320,2016-03-20,2016,3,March,20,1,True
20160321,2016-03-21,2016,3,March,21,1,False
20160322,2016-03-22,2016,3,March,22,1,False
20160323,2016-03-23,2016,3,March,23,1,False
20160324,2016-03-24,2016,3,March,24,1,False
20160325,2016-03-25,2016,3,March,25,1,False
20160326,2016-03-26,2016,3,March,26,1,True
20160327,2016-03-27,2016,3,March,27,1,True
20160328,2016-03-28,2016,3,March,28,1,False
20160329,2016-03-29,2016,3,March,29,1,False
20160330,2016-03-30,2016,3,March,30,1,False
20160331,2016-03-31,2016,3,March,31,1,False
20160401,2016-04-01,2016,4,April,1,2,False
20160402,2016-04-02,2016,4,April,2,2,True
20160403,2016-04-03,2016,4,April,3,2,True
20160404,2016-04-04,2016,4,April,4,2,False
20160405,2016-04-05,2016,4,April,5,2,False
20160406,2016-04-06,2016,4,April,6,2,False
20160407,2016-04-07,2016,4,April,7,2,False
20160408,2016-04-08,2016,4,April,8,2,False
20160409,2016-04-09,2016,4,April,9,2,True
20160410,2016-04-10,2016,4,April,10,2,True
20160411,2016-04-11,2016,4,April,11,2,False
20160412,2016-04-12,2016,4,April,12,2,False
20160413,2016-04-13,2016,4,April,13,2,False
20160414,2016-04-14,2016,4,April,14,2,False
20160415,2016-04-15,2016,4,April,15,2,False
20160416,2016-04-16,2016,4,April,16,2,True
20160417,2016-04-17,2016,4,April,17,2,True
20160418,2016-04-18,2016,4,April,18,2,False
20160419,2016-04-19,2016,4,April,19,2,False
20160420,2016-04-20,2016,4,April,20,2,False
20160421,2016-04-21,2016,4,April,21,2,False
20160422,2016-04-22,2016,4,April,22,2,False
20160423,2016-04-23,2016,4,April,23,2,True
20160424,2016-04-24,2016,4,April,24,2,True
20160425,2016-04-25,2016,4,April,25,2,False
20160426,2016-04-26,2016,4,April,26,2,False
20160427,2016-04-27,2016,4,April,27,2,False
20160428,2016-04-28,2016,4,April,28,2,False
20160429,2016-04-29,2016,4,April,29,2,False
20160430,2016-04-30,2016,4,April,30,2,True
20160501,2016-05-01,2016,5,May,1,2,True
20160502,2016-05-02,2016,5,May,2,2,False
20160503,2016-05-03,2016,5,May,3,2,False
20160504,2016-05-04,2016,5,May,4,2,False
20160505,2016-05-05,2016,5,May,5,2,False
